"Chord","Key Strokes"
"   O ROOO","o"
"   O MOOO","i"
"   O LOOO","e"
"   O OROO","r"
"   N OROO","<Left GUI>r</Left GUI>"
"   O RROO","or"
"   O MROO","ri"
"   O LROO","er"
"   O OMOO","m"
"   O RMOO","om"
"   O MMOO",","
"   O LMOO","me"
"   O OLOO","h"
"   O RLOO","ho"
"   O MLOO","hi"
"   O LLOO","he"
"   C LLOO","<Left Ctrl>{</Left Ctrl>"
"   O OORO","a"
"   O RORO","y"
"   O MORO","'"
"   O LORO","ea"
"   O ORRO","ar"
"   O RRRO","["
"   O LRRO","rea"
"   O OMRO","ma"
"   O RMRO","my"
"   O MMRO","<Delete>"
"   O LMRO","<PageUp>"
"   O OLRO","ha"
"   O LLRO","hea"
"   O OOMO"," "
"   N OOMO","<Left GUI> </Left GUI>"
"   O ROMO","-"
"   O MOMO","<Tab>"
"   O LOMO","k"
"  NA MOMO","<Left Alt><Left Shift><Tab></Left Shift></Left Alt>"
"   O ORMO","g"
"   O RRMO","go"
"   O MRMO","gi"
"   O LRMO","ge"
"   O OMMO","b"
"   O RMMO","bo"
"   O MMMO","<Escape>"
"   O LMMO","be"
"   O OLMO","<Backspace>"
"   O RLMO","<Home>"
"   O MLMO","<Left Ctrl><Backspace></Left Ctrl>"
"   O LLMO","<End>"
"   O O(RL)MO","gh"
"   O OOLO","t"
"   O ROLO","to"
"   O MOLO","it"
"   O LOLO","te"
"   O ORLO","rt"
"   O RRLO","ort"
"   O LRLO","ter"
"   O OMLO","v"
"   O MMLO","iv"
"   O LMLO","ve"
"   O OLLO","th"
"   O RLLO","oth"
"   O MLLO","ith"
"   O LLLO","the"
"   O OO(RL)O","at"
"   S RROO","Or"
"   S MROO","Ri"
"   S LROO","Er"
"   S RMOO","Om"
"   S LMOO","Me"
"   S RLOO","Ho"
"   S MLOO","Hi"
"   S LLOO","He"
"   S LORO","Ea"
"   S ORRO","Ar"
"   S LRRO","Rea"
"   S OMRO","Ma"
"   S RMRO","My"
"   S OLRO","Ha"
"   S LLRO","Hea"
"   S RRMO","Go"
"   S MRMO","Gi"
"   S LRMO","Ge"
"   S RMMO","Be"
"   S O(RL)MO","Gh"
"   S ROLO","To"
"   S MOLO","It"
"   S LOLO","Te"
